,1,2,3,4,5,6,7,8,,,,,
חיישן 1,32,15,20,40,52,67,80,90,,,,,
חיישן 2,30,14,20,41,50,65,81,91,,,t-Test: Two-Sample Assuming Equal Variances,,
,,,,,,,,,,,,,
,,,,,,,,,,,,חיישן 1,חיישן 2
,,,,,,,,,,,Mean,49.5,49
,,,,,,,,,,,Variance,762.8571429,790.8571429
,,,,,,,,,,,Observations,8,8
,,,,,,,,,,,Pooled Variance,776.8571429,
,,,,,,,,,,,Hypothesized Mean Difference,0,
,,,,,,,,,,,df,14,
,,,,,,,,,,,t Stat,0.035878099,
,,,,,,,,,,,P(T<=t) one-tail,0.485943054,
,,,,,,,,,,,t Critical one-tail,1.761310136,
,,,,,,,,,,,P(T<=t) two-tail,0.971886109,
,,,,,,,,,,,t Critical two-tail,2.144786688,
