מספר בדיקה,מרחק בסנטימטרים,מרחק סנטימטרים בדיקה,שגיאה אבסלוטית,,,,,,,,,,
1,30,32.4,2.4,,,,,,,,,,
2,15,15.42,0.42,,,,,,,,,,
3,9,8.7,0.3,,,,t-Test: Paired Two Sample for Means,,,,,,
4,65,64,1,,,,,,,,,,
5,25,23.6,1.4,,,,,Variable 1,Variable 2,,,,
6,35,33.4,1.6,,,,Mean,66.64554,66.7,,,,
7,45,47.7,2.7,,,,Variance,2611.893587,2605.32069,,,,
8,55,53.8654,1.1346,,,,Observations,30,30,,,,
9,65,62,3,,,,Pearson Correlation,0.998942307,,,,,
10,75,73.987,1.013,,,,Hypothesized Mean Difference,0,,,,,
11,85,87.999,2.999,,,,df,29,,,,,
12,95,94.098,0.902,,,,t Stat,-0.126933536,,,,,
13,105,105.9484,0.9484,,,,P(T<=t) one-tail,0.449934523,,,,,
14,115,116.0987,1.0987,,,,t Critical one-tail,1.699127027,,,,,
15,125,125.123,0.123,,,,P(T<=t) two-tail,0.899869046,,,,,
16,135,130.1,4.9,,,,t Critical two-tail,2.045229642,,,,,
17,145,139.9,5.1,,,,,,,,,,
18,155,154.6,0.4,,,,,,,,,,
19,165,171.34,6.34,,,,,,,,,,
20,175,176.098,1.098,,,,,,,,,,
21,25,23.6,1.4,,,,,,,,,,
22,35,34.6,0.4,,,,,,,,,,
23,18,17.1,0.9,,,,,,,,,,
24,19,21.32,2.32,,,,,,,,,,
25,20,20.0987,0.0987,,,,,,,,,,
26,22,23.54,1.54,,,,,,,,,,
27,11,10.1,0.9,,,,,,,,,,
28,33,35.6,2.6,,,,,,,,,,
29,44,41.23,2.77,,,,,,,,,,
30,55,55.8,0.8,,,,,,,,,,
